title,type,country,release_year,rating
Cemara's Family,0,249,0.5384916518328648,8
Chaar Sahibzaade,0,229,-0.6708069887497644,10
6 Balloons,0,549,0.5384916518328648,9
Chal Bhaag,0,229,-0.6708069887497644,7
Chal Dhar Pakad,0,229,-1.8801056293323937,7
Chalay Thay Saath,0,342,0.23616699168720753,7
Challenger,1,549,1.1431409721241794,7
Chaman Bahaar,0,229,1.1431409721241794,9
Chambers,1,549,0.8408163119785221,9
6 Days,0,327,0.23616699168720753,6
Champions,1,549,0.5384916518328648,7
Chance Pe Dance,0,229,-1.8801056293323937,7
Chandani: The Daughter of the Elephant Whisperer,0,205,-1.8801056293323937,8
Change in the Air,0,549,0.5384916518328648,4
Chaotic Love Poems,0,249,-0.0661576684584498,7
Chappaquiddick,0,648,0.23616699168720753,5
Chappie,0,391,-0.3684823286041071,6
Charité,1,193,0.23616699168720753,9
Charité at War,1,669,0.8408163119785221,9
6 Underground,0,549,0.8408163119785221,6
Charlie's Colorforms City,1,549,0.8408163119785221,11
Charmed,1,549,0.8408163119785221,7
Charming,0,79,1.4454656322698367,12
Chashme Baddoor,0,229,-0.9731316488954218,7
Chashme Buddoor,0,229,-0.9731316488954218,10
6 Years,0,549,-0.3684823286041071,9
Chasing Cameron,1,549,-0.0661576684584498,7
Chasing Coral,0,549,0.23616699168720753,10
Chasing Monsters,1,51,-0.0661576684584498,10
Chasing the Dragon,0,220,0.23616699168720753,9
Chasing Trane,0,549,-0.0661576684584498,10
Chatô: The King of Brazil,0,39,-0.3684823286041071,9
Chauthi Koot,0,232,-0.3684823286041071,7
Cheapest Weddings,1,12,-0.0661576684584498,7
Check The Store Next Door: The Next Chapter,1,249,1.1431409721241794,7
Cheer,1,549,1.1431409721241794,9
1994,1,308,0.8408163119785221,9
6-5=2,0,229,-0.6708069887497644,9
Cheer Squad,1,549,-0.0661576684584498,10
Cheese in the Trap,1,394,-0.0661576684584498,7
Chef,0,549,-0.6708069887497644,6
